Task: 1, Test Name: Search field is visible, DOM Id: A__btnsearchm__59,Browser: Chrome, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: Search icon is hidden, DOM Id: A__btnsearchm__59,Browser: Chrome, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: wish list is visible, DOM Id: A__wishlist__52,Browser: Chrome, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: cart count is visible, DOM Id: STRONG____50,Browser: Chrome, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: open filters button is hidden, DOM Id: ti-filter,Browser: Chrome, Viewport: 1200 * 700, Device: laptop, Status: False
Task: 1, Test Name: Filters span is hidden, DOM Id: //span[contains(text(),'Filters')],Browser: Chrome, Viewport: 1200 * 700, Device: laptop, Status: False
Task: 1, Test Name: grid view button is visible, DOM Id: ti-view-grid,Browser: Chrome, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: list view button is visible, DOM Id: ti-view-list,Browser: Chrome, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: Search field is visible, DOM Id: A__btnsearchm__59,Browser: Firefox, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: Search icon is hidden, DOM Id: A__btnsearchm__59,Browser: Firefox, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: wish list is visible, DOM Id: A__wishlist__52,Browser: Firefox, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: cart count is visible, DOM Id: STRONG____50,Browser: Firefox, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: open filters button is hidden, DOM Id: ti-filter,Browser: Firefox, Viewport: 1200 * 700, Device: laptop, Status: False
Task: 1, Test Name: Filters span is hidden, DOM Id: //span[contains(text(),'Filters')],Browser: Firefox, Viewport: 1200 * 700, Device: laptop, Status: False
Task: 1, Test Name: grid view button is visible, DOM Id: ti-view-grid,Browser: Firefox, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: list view button is visible, DOM Id: ti-view-list,Browser: Firefox, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: Search field is visible, DOM Id: A__btnsearchm__59,Browser: Edge, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: Search icon is hidden, DOM Id: A__btnsearchm__59,Browser: Edge, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: wish list is visible, DOM Id: A__wishlist__52,Browser: Edge, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: cart count is visible, DOM Id: STRONG____50,Browser: Edge, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: open filters button is hidden, DOM Id: ti-filter,Browser: Edge, Viewport: 1200 * 700, Device: laptop, Status: False
Task: 1, Test Name: Filters span is hidden, DOM Id: //span[contains(text(),'Filters')],Browser: Edge, Viewport: 1200 * 700, Device: laptop, Status: False
Task: 1, Test Name: grid view button is visible, DOM Id: ti-view-grid,Browser: Edge, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: list view button is visible, DOM Id: ti-view-list,Browser: Edge, Viewport: 1200 * 700, Device: laptop, Status: True
Task: 1, Test Name: Search field is visible, DOM Id: A__btnsearchm__59,Browser: Chrome, Viewport: 768 * 700, Device: tablet, Status: True
Task: 1, Test Name: Search button is hidden, DOM Id: A__btnsearchm__59,Browser: Chrome, Viewport: 768 * 700, Device: tablet, Status: True
Task: 1, Test Name: wish list is hidden, DOM Id: A__wishlist__52,Browser: Chrome, Viewport: 768 * 700, Device: tablet, Status: False
Task: 1, Test Name: cart count is visible, DOM Id: STRONG____50,Browser: Chrome, Viewport: 768 * 700, Device: tablet, Status: True
Task: 1, Test Name: open filters button is visible, DOM Id: ti-filter,Browser: Chrome, Viewport: 768 * 700, Device: tablet, Status: True
Task: 1, Test Name: Filters span is visible, DOM Id: //span[contains(text(),'Filters')],Browser: Chrome, Viewport: 768 * 700, Device: tablet, Status: True
Task: 1, Test Name: grid view button is hidden, DOM Id: ti-view-grid,Browser: Chrome, Viewport: 768 * 700, Device: tablet, Status: False
Task: 1, Test Name: list view button is hidden, DOM Id: ti-view-list,Browser: Chrome, Viewport: 768 * 700, Device: tablet, Status: False
Task: 1, Test Name: Search field is visible, DOM Id: A__btnsearchm__59,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: True
Task: 1, Test Name: Search button is hidden, DOM Id: A__btnsearchm__59,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: True
Task: 1, Test Name: wish list is hidden, DOM Id: A__wishlist__52,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: False
Task: 1, Test Name: cart count is visible, DOM Id: STRONG____50,Browser: Firefox, Viewport: 768 * 700, Device: tablet, Status: True
